event_id,title,question,start_date,end_date,volume,tags,outcomes,outcome_prices,uma_resolution_status,last_trade_price,token_ids
13581,Bulls vs. Pelicans,,2024-10-21 20:24:56.873874+00:00,2024-10-24 00:00:00+00:00,13852.800635,"[{'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}, {'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}]","['Bulls', 'Pelicans']","['0', '1']",resolved,1.0,"['81691643096016455150496071250551597712282387487896428578334932746527307331621', '10827886291183035677676907234412520582764621612842514192360873626700119198564']"
13582,Hornets vs. Rockets,,2024-10-21 20:24:56.967433+00:00,2024-10-24 00:00:00+00:00,30766.685697,"[{'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}, {'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}]","['Hornets', 'Rockets']","['1', '0']",resolved,1.0,"['90951996155476375539779870494880193006004419584754706244935002905182581515274', '19074605635906433343142663112738447453227131019306346394997660000647060052288']"
13583,Grizzlies vs. Jazz,,2024-10-21 20:24:56.972115+00:00,2024-10-24 01:00:00+00:00,37824.86851,"[{'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}, {'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}]","['Grizzlies', 'Jazz']","['1', '0']",resolved,1.0,"['90667731075404552595127101285049710387897340965276213387251412793227973188443', '15855117944694946751127103237952265753792913362357053955521828909387415112290']"
13584,Warriors vs. Trail Blazers,,2024-10-21 20:26:57.803093+00:00,2024-10-24 02:00:00+00:00,19322.131861,"[{'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}, {'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}]","['Warriors', 'Trail Blazers']","['1', '0']",resolved,1.0,"['10766625732223435201900086355015165130824290706173672858420447133051283393710', '9604107504283240679737315297079206144114360600031377120998867035032471758400']"
13586,Suns vs. Clippers,,2024-10-21 20:26:57.812755+00:00,2024-10-24 02:00:00+00:00,109896.409517,"[{'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}, {'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}]","['Suns', 'Clippers']","['1', '0']",resolved,1.0,"['4980889493617595608186422139407116148223294031755434182844342819977114357370', '34577492363899692658402739098401486464565419258866552777246700062467137005220']"
13587,Celtics vs. Wizards,,2024-10-21 20:26:57.124448+00:00,2024-10-24 23:00:00+00:00,129588.42532,"[{'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}, {'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}]","['Celtics', 'Wizards']","['1', '0']",resolved,1.0,"['52315747538194613617949318838231078628370382613514944362852535811373431626843', '16207406333938992238497498404059099765048192104135695760348280307930881506170']"
13589,Spurs vs. Mavericks,,2024-10-21 20:26:57.130633+00:00,2024-10-24 23:30:00+00:00,90885.064572,"[{'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}, {'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}, {'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}]","['Spurs', 'Mavericks']","['0', '1']",resolved,1.0,"['58488816536293457860233372580550875007915097029172148776296849085010287177179', '67107213029996420265423471745294157506102454237610650454670152430415783134208']"
13590,Timberwolves vs. Kings,,2024-10-21 20:28:58.879001+00:00,2024-10-25 02:00:00+00:00,103339.997364,"[{'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}, {'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}]","['Timberwolves', 'Kings']","['1', '0']",resolved,1.0,"['44491079852192412047862347174026695608349954068364153350748631760369464437161', '62245324356947572318191368264912329180713697868176381874369290289170728750561']"
13591,Thunder vs. Nuggets,,2024-10-21 20:28:58.442440+00:00,2024-10-25 02:00:00+00:00,42690.052531,"[{'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}, {'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}]","['Thunder', 'Nuggets']","['1', '0']",resolved,1.0,"['77292047070575221687058980026700781993434976613896587532992498086201597600260', '55326794029198488380872522366231755587891101773374887872721165607385931780471']"
13592,Nets vs. Magic,,2024-10-21 20:28:58.679437+00:00,2024-10-25 23:00:00+00:00,44623.042597,"[{'id': '1', 'label': 'Sports', 'slug': 'sports', 'forceShow': False, 'publishedAt': '2023-10-24 22:37:50.296+00', 'updatedBy': 15, 'createdAt': '2023-10-24T22:37:50.31Z', 'updatedAt': '2024-07-05T21:07:21.800664Z', 'forceHide': True}, {'id': '745', 'label': 'NBA', 'slug': 'nba', 'forceShow': False, 'publishedAt': '2023-12-18 18:24:38.08+00', 'createdAt': '2023-12-18T18:24:38.098Z', 'updatedAt': '2024-06-18T14:52:57.582861Z'}, {'id': '100639', 'label': 'Games', 'slug': 'games', 'forceShow': False, 'createdAt': '2024-09-23T22:41:37.670714Z'}]","['Nets', 'Magic']","['0', '1']",resolved,1.0,"['96071317562481645438487575576532279638218985343140864172606434593830223446136', '17189212163364813578576460347384132194120136736717728155458088267515981388130']"
